date,store_id,product_id,sales_amount,units_sold
2022-08-15,STORE-1135,PROD-95603,222.19,32
2022-01-03,STORE-6420,PROD-96386,737.6,46
2022-04-13,STORE-1938,PROD-44615,613.83,46
2022-12-25,STORE-5059,PROD-18594,910.56,43
2023-02-10,STORE-9420,PROD-87734,831.91,17
2022-05-20,STORE-5123,PROD-86906,371.88,18
2022-01-19,STORE-6507,PROD-94539,247.03,32
2022-05-14,STORE-3134,PROD-82732,631.71,30
2023-04-22,STORE-5886,PROD-13847,543.51,5
2022-08-21,STORE-6381,PROD-73330,185.48,24
2022-02-11,STORE-8526,PROD-63244,905.85,16
2022-09-19,STORE-4254,PROD-62338,993.69,12
2022-03-01,STORE-8739,PROD-72879,705.64,16
2022-03-02,STORE-9135,PROD-51310,291.75,29
2022-10-06,STORE-3153,PROD-59320,607.62,49
2022-01-29,STORE-1374,PROD-14715,81.37,45
2022-09-07,STORE-8237,PROD-38462,636.98,14
2022-11-06,STORE-8485,PROD-72644,438.33,12
2022-12-20,STORE-9412,PROD-93787,634.94,18
2022-03-01,STORE-7351,PROD-35552,962.06,26
2022-02-12,STORE-2838,PROD-62833,763.6,47
2023-01-23,STORE-8322,PROD-60477,677.78,48
2022-10-26,STORE-4910,PROD-48370,260.18,28
2022-07-16,STORE-2734,PROD-69958,840.33,24
2023-03-10,STORE-9009,PROD-54244,889.57,29
2022-10-01,STORE-2248,PROD-61142,255.44,28
2023-03-13,STORE-6519,PROD-83204,39.18,44
2022-06-15,STORE-4469,PROD-36962,435.48,37
2022-10-24,STORE-4830,PROD-38168,80.41,26
2023-01-29,STORE-1696,PROD-58259,404.43,44
2023-03-03,STORE-4668,PROD-85679,505.22,23
2022-09-03,STORE-6790,PROD-32081,759.68,35
2023-03-13,STORE-6986,PROD-32513,320.81,41
2022-11-15,STORE-6922,PROD-96909,78.92,5
2022-11-10,STORE-5349,PROD-55522,175.99,17
2023-04-06,STORE-8019,PROD-50101,127.22,42
2023-02-28,STORE-7770,PROD-48876,615.01,32
2022-11-01,STORE-7799,PROD-71850,124.37,8
2022-09-10,STORE-4462,PROD-70562,395.92,13
2022-07-12,STORE-2830,PROD-10654,315.45,49
2022-06-06,STORE-8818,PROD-26356,722.18,48
2022-08-04,STORE-8955,PROD-98636,377.66,26
2022-09-30,STORE-9665,PROD-41949,552.72,6
2022-10-18,STORE-2343,PROD-66884,942.99,3
2022-06-03,STORE-7617,PROD-87567,654.05,7
2022-01-21,STORE-3292,PROD-58111,351.51,44
2022-04-04,STORE-6607,PROD-94344,149.84,23
2022-01-02,STORE-3617,PROD-78538,26.19,16
2022-10-14,STORE-4061,PROD-84429,593.85,41
2023-04-18,STORE-1699,PROD-32950,324.3,17
2022-01-08,STORE-3041,PROD-58126,325.82,50
2022-08-29,STORE-6578,PROD-77009,449.25,20
2023-03-29,STORE-6941,PROD-42276,863.05,21
2022-12-23,STORE-8143,PROD-57444,267.44,48
2022-12-07,STORE-4917,PROD-98171,21.07,50
2022-10-17,STORE-2563,PROD-33754,877.9,21
2022-04-07,STORE-1288,PROD-85959,944.82,30
2022-06-16,STORE-4696,PROD-89712,852.62,15
2022-05-23,STORE-9877,PROD-11875,796.05,13
2022-04-09,STORE-4147,PROD-56215,611.08,17
2022-01-08,STORE-2765,PROD-87268,757.31,5
2022-03-26,STORE-7309,PROD-63009,678.39,13
2022-02-03,STORE-3677,PROD-45410,929.67,29
2022-09-12,STORE-8126,PROD-41906,492.44,5
2022-04-13,STORE-3717,PROD-23452,224.2,44
2022-12-03,STORE-4704,PROD-96452,251.06,45
2022-06-07,STORE-2313,PROD-61275,285.29,45
2022-07-26,STORE-6245,PROD-58293,507.96,47
